1;Construção;Chico Buarque;Chico Buarque;1971
2;Águas De Março;Elis Regina e Tom Jobim;Tom Jobim;1974
3;Carinhoso;Pixinguinha;Pixinguinha & João de Barro;1917
4;Asa Branca;Luiz Gonzaga;Luiz Gonzaga & Humberto Teixeira;1947
5;Mas Que Nada;Jorge Ben;Jorge Ben;1963
6;Chega de Saudade;João Gilberto;Tom Jobim & Vinicius de Moraes;1959
7;Panis et Circencis;Os Mutantes;Caetano Veloso & Gilberto Gil;1968
8;Detalhes;Roberto Carlos;Erasmo Carlos & Roberto Carlos;1971
9;Canto de Ossanha;Baden Powell e Vinicius de Moraes;Baden Powell & Vinicius de Moraes;1966
10;Alegria Alegria;Caetano Veloso;Caetano Veloso;1967
11;Domingo no Parque;Gilberto Gil e Os Mutantes;Gilberto Gil;1967
12;Aquarela do Brasil;Francisco Alves;Ary Barroso;1939
13;As Rosas Não Falam;Cartola;Cartola;1974
14;Desafinado;João Gilberto;Tom Jobim & Newton Mendonça;1958
15;Trem das Onze;Demônios da Garoa;Adoniran Barbosa;1964
16;Ouro de Tolo;Raul Seixas;Raul Seixas;1973
17;O Mundo é um Moinho;Cartola;Cartola;1974
18;Sinal Fechado;Chico Buarque;Paulinho da Viola;1974
19;Quero Que Vá Tudo pro Inferno;Roberto Carlos;Erasmo Carlos & Roberto Carlos;1965
20;Preta Pretinha;Novos Baianos;Moraes Moreira & Luiz Galvão;1972
21;Tropicália;Caetano Veloso;Caetano Veloso;1968
22;Da Lama ao Caos;Chico Science & Nação Zumbi;Chico Science;1994
23;Inútil;Ultraje a Rigor;Roger Moreira & Edgard Scandurra & Maurício Defendi;1985
24;Eu Sei Que Vou Te Amar;Vinicius de Moraes;Tom Jobim & Vinicius de Moraes;1970
25;País Tropical;Wilson Simonal;Jorge Ben;1969
26;Roda Viva;Chico Buarque e MPB4;Chico Buarque;1967
27;Garota de Ipanema;Pery Ribeiro;Tom Jobim & Vinicius de Moraes;1961
28;Pra Não Dizer Que Não Falei das Flores;Geraldo Vandré;Geraldo Vandré;1968
29;Coisa nº 5 - Nanã;Moacir Santos;Moacir Santos & Mario Telles;1965
30;Baby;Gal Costa;Caetano Veloso;1969
31;Travessia;Milton Nascimento;Milton Nascimento & Fernando Brant;1967
32;Ovelha Negra;Rita Lee & Tutti Frutti;Rita Lee;1975
33;Pérola Negra;Luiz Melodia;Luiz Melodia;1973
34;Brasil Pandeiro;Novos Baianos;Assis Valente;1972
35;O Trem Azul;Lô Borges;Lô Borges & Ronaldo Bastos;1972
36;O Bêbado e a Equilibrista;Elis Regina;João Bosco & Aldir Blanc;1979
37;Primavera (Vai Chuva);Tim Maia;Cassiano & Silvio Rochael;1970
38;Eu Quero é Botar Meu Bloco na Rua;Sérgio Sampaio;Sérgio Sampaio;1972
39;Metamorfose Ambulante;Raul Seixas;Raul Seixas;1973
40;Sangue Latino;Secos & Molhados;João Ricardo & Paulinho Mendonça;1973
41;Manhã de Carnaval;Luiz Bonfá;Luiz Bonfá & Antônio Maria;1959
42;Sampa;Caetano Veloso;Caetano Veloso;1978
43;Como Nossos Pais;Elis Regina;Belchior;1976
44;Azul da Cor do Mar;Tim Maia;Tim Maia;1970
45;Carcará;Maria Bethânia;João do Vale & José Cândido;1965
46;Ponteio;Edu Lobo e Marília Medalha;Edu Lobo & Capinam;1967
47;Me Chama;Lobão e Os Ronaldos;Lobão;1984
48;Maracatu Atômico;Chico Science & Nação Zumbi;Jorge Mautner & Nelson Jacobina;1996
49;Os Alquimistas Estão Chegando os Alquimistas;Jorge Ben;Jorge Ben;1974
50;Disparada;Jair Rodrigues;Geraldo Vandré & Théo de Barros;1966
51;Diário de um Detento;Racionais MC's;Jocenir & Mano Brown;1997